authorJob,followers,topic,image,video,hashtag,textWords,vote,time,labels
senior,15818,etc,1,0,1,9,0,0.5,2
senior,800,social,1,0,9,284,0,0.5,1
senior,2756,social,0,0,2,75,0,0.5,1
senior,8637,technical,1,0,0,85,0,1,2
junior,249,job,1,0,7,123,0,1,2
company,23181,job,0,1,1,21,0,6,2
senior,1980,technical,1,0,2,78,0,1,2
company,1930,technical,0,1,1,37,0,0.5,1
senior,1519,technical,0,1,5,116,0,5,2
senior,2194,technical,1,0,1,64,0,1,1
senior,3727,social,1,0,0,20,0,1,1
senior,10638,job,1,0,1,97,0,0.5,0
student,1379,job,0,0,0,33,0,0.5,1
senior,1572,job,1,0,7,25,0,7,2
senior,1179,technical,0,0,3,156,0,7,1
junior,3687,job,1,0,1,28,0,0.5,2
company,7983,technical,0,1,9,41,0,0.5,1
senior,1645,technical,1,0,6,45,0,5,1
senior,2002,job,1,0,5,26,0,0.5,2
senior,1256,social,0,0,0,148,0,7,2
senior,4769,social,1,0,2,8,0,3,2
senior,4062,social,0,1,1,3,0,3,2
senior,3332,technical,1,0,4,110,0,5,2
senior,8342,etc,1,0,5,126,0,7,1
company,14522,technical,1,0,1,19,0,2,1
senior,11130,social,1,0,7,205,0,14,2
senior,808,technical,1,0,8,68,0,14,0
senior,3164,social,0,0,0,21,0,3,1
company,7983,technical,0,1,6,67,0,7,1
company,2576,etc,1,0,2,16,0,7,0
junior,7116,job,0,0,4,47,0,7,2
junior,107,job,1,0,2,38,0,4,2
senior,2796,job,1,0,9,96,0,21,2
senior,13800,technical,1,0,1,8,0,1,0
senior,659,social,0,1,0,16,0,14,2
senior,2465,social,1,0,0,193,0,1,2
junior,341,job,1,0,1,42,0,14,1
senior,2133,technical,1,0,10,299,0,1,2
junior,1375,technical,1,0,1,249,0,2,1
junior,1401,job,0,0,1,36,0,6,2
senior,22151,social,0,1,0,36,0,5,2
company,707,technical,1,0,15,24,0,7,1
senior,2211,technical,1,0,1,59,0,7,2
senior,3387,technical,1,0,5,92,0,1,1
student,849,job,1,0,2,44,0,0.5,1
senior,2655,social,1,0,2,56,0,1,1
senior,5385,social,0,1,12,200,0,1,1
senior,10132,technical,1,0,7,205,0,5,2
student,588,job,1,0,10,35,0,2,2
senior,8385,technical,1,0,3,197,0,6,2
senior,15141,technical,1,0,12,103,0,1,1
senior,2022,technical,1,0,2,62,0,6,2
senior,665,etc,1,0,12,57,0,7,0
company,727,technical,1,0,18,65,0,3,1
senior,17620,social,0,0,0,207,0,0.5,2
senior,3007,social,1,0,7,83,0,0.5,1
senior,25583,technical,1,0,3,54,0,0.5,1
senior,11169,social,0,0,15,509,0,1,1
company,8527,job,1,0,2,57,0,7,1
senior,17624,technical,0,0,0,70,0,5,2
senior,13883,job,0,0,1,56,0,3,2
junior,3852,technical,0,1,3,63,0,1,1
senior,5333,technical,1,0,1,52,0,7,2
senior,58783,technical,1,0,4,56,0,6,2
senior,1753,social,0,0,0,98,0,0.5,2
senior,30436,technical,1,0,16,19,0,4,2
senior,3869,social,1,0,4,187,0,1,2
junior,11,etc,1,0,2,0,0,5,0
junior,1233,technical,1,0,12,129,0,0.5,1
junior,167,technical,1,0,3,19,0,4,0
junior,3942,technical,1,0,11,56,0,0.5,1
senior,1567,job,1,0,7,25,0,6,2
senior,1260,social,0,0,0,66,0,1,2
senior,737,social,1,0,0,17,0,7,2
student,404,technical,0,0,4,86,0,0.5,0
junior,576,etc,0,0,7,22,0,4,0
junior,726,etc,0,0,8,20,0,4,0
senior,17590,etc,0,0,0,24,0,0.5,1
senior,3994,social,1,0,0,471,0,1,2
